name_x,station_id_x,name_y,station_id_y,distance_miles
Barton Springs Pool,2572,Waller & 6th St.,2536,2.4342268106093456
Barton Springs Pool,2572,Plaza Saltillo,2542,2.622222543319961
Barton Springs Pool,2572,UT West Mall @ Guadalupe,2548,2.286531915658729
Barton Springs Pool,2572,State Capitol Visitors Garage @ San Jacinto & 12th,2561,2.0735150736507664
Barton Springs Pool,2572,Trinity & 6th Street,2565,1.9155573732485343
Barton Springs Pool,2572,Pfluger Bridge @ W 2nd Street,2566,0.9951050206529175
Barton Springs Pool,2572,Red River & 8th Street,2571,2.09558273030233
Barton Springs Pool,2572,Rainey @ River St,2576,1.970984991634585
Barton Springs Pool,2572,Rainey St @ Cummings,2707,1.9704283972832253
Barton Springs Pool,2572,Guadalupe & 6th,3294,1.5278908343886908
Barton Springs Pool,2572,MoPac Pedestrian Bridge @ Veterans Drive,3377,0.7006398118559074
Barton Springs Pool,2572,South Congress & Barton Springs at the Austin American-Statesman,3513,1.569510702987277
Barton Springs Pool,2572,Nueces & 3rd,3621,1.3208990604217494
Barton Springs Pool,2572,Congress & Cesar Chavez,3684,1.5640186715947226
Barton Springs Pool,2572,Henderson & 9th,3685,1.2382254457592665
Barton Springs Pool,2572,Sterzing at Barton Springs,3686,0.44062884455303214
Barton Springs Pool,2572,State Parking Garage @ Brazos & 18th,1005,2.269175845800841
Barton Springs Pool,2572,South Congress & James,2503,1.6077161593335776
Barton Springs Pool,2572,Zilker Park,2574,0.20195598080450072
Barton Springs Pool,2572,Toomey Rd @ South Lamar,2712,0.7816151446094163
Barton Springs Pool,2572,Republic Square @ Guadalupe & 4th St.,2550,1.4686243948112465
Barton Springs Pool,2572,San Jacinto & 8th Street,2562,1.9005059165566833
Barton Springs Pool,2572,South Congress & Academy,2570,1.5966442187300587
Barton Springs Pool,2572,Riverside @ S. Lamar,2575,0.870015032189191
Barton Springs Pool,2572,11th & San Jacinto,3291,2.0184094478646792
Barton Springs Pool,2572,Republic Square @ Federal Courthouse Plaza,3455,1.3996558727331192
Barton Springs Pool,2572,Lavaca & 6th,1007,1.5805536961865245
Barton Springs Pool,2572,East 6th & Pedernales St.,2544,3.3972111128078906
Barton Springs Pool,2572,East 6th at Robert Martinez,2822,3.1352957988813777
Barton Springs Pool,2572,East 4th & Chicon,3292,2.8565105794373578
Barton Springs Pool,2572,East 2nd & Pedernales,3293,3.3216045879900444
Barton Springs Pool,2572,OFFICE/Main/Shop/Repair,1001,1.9345417493058192
Barton Springs Pool,2572,Palmer Auditorium,2567,1.1113147115798674
Barton Springs Pool,2572,Medina & East 6th,3660,2.3648593511842444
Barton Springs Pool,2572,Convention Center / 4th St. @ MetroRail,2498,1.9254871633113042
Barton Springs Pool,2572,Convention Center / 3rd & Trinity,2539,1.8519140090101789
Barton Springs Pool,2572,Davis at Rainey Street,2563,1.98088530453816
Barton Springs Pool,2572,East 11th St. at Victory Grill,2568,2.575561922495543
Barton Springs Pool,2572,East 11th St. & San Marcos,2569,2.4451798699639324
Barton Springs Pool,2572,Barton Springs & Riverside,2502,1.402721567694646
Barton Springs Pool,2572,ACC - West & 12th Street,2546,1.5889741988784454
Barton Springs Pool,2572,Barton Springs @ Kinney Ave,2711,0.6237843202812459
Barton Springs Pool,2572,6th & Navasota St.,1002,2.545291916432103
Barton Springs Pool,2572,8th & Guadalupe,1003,1.593875621260274
Barton Springs Pool,2572,Zilker Park West,1006,0.19887430855940855
Barton Springs Pool,2572,8th & Congress,2496,1.791618432995298
Barton Springs Pool,2572,Capitol Station / Congress & 11th,2497,1.8741195242327897
Barton Springs Pool,2572,City Hall / Lavaca & 2nd,2499,1.460265064368274
Barton Springs Pool,2572,Long Center @ South 1st & Riverside,2549,1.3323472574433457
Barton Springs Pool,2572,Pease Park,3464,1.6151835841656723
Barton Springs Pool,2572,Bullock Museum @ Congress & MLK,2538,2.261405924035402
Barton Springs Pool,2572,17th & Guadalupe,2540,2.0088477222766064
Barton Springs Pool,2572,Guadalupe & 21st,2547,2.2007683085836502
Barton Springs Pool,2572,Capital Metro HQ - East 5th at Broadway,2823,3.6989629471646897
Barton Springs Pool,2572,East 7th & Pleasant Valley,3381,3.670090741446877
Barton Springs Pool,2572,Brazos & 6th,3390,1.7856266134225467
Barton Springs Pool,2572,6th & Congress,3619,1.7141855280230858
Barton Springs Pool,2572,13th & San Antonio,3635,1.7661780459927778
Barton Springs Pool,2572,Boardwalk West,3687,1.8435372961797256
Barton Springs Pool,2572,2nd & Congress,2494,1.6535898470045576
Barton Springs Pool,2572,4th & Congress,2495,1.6443267358973344
Barton Springs Pool,2572,3rd & West,2552,1.1765043616135111
Barton Springs Pool,2572,5th & Bowie,2501,1.1249029813866516
Barton Springs Pool,2572,5th & San Marcos,2564,2.290852455614467
Barton Springs Pool,2572,State Capitol @ 14th & Colorado,2541,1.9566111526741836
ACC - Rio Grande & 12th,2545,West & 6th St.,2537,0.42346253298026715
ACC - Rio Grande & 12th,2545,Barton Springs Pool,2572,1.626832087324789
ACC - Rio Grande & 12th,2545,ACC - Rio Grande & 12th,2545,0.0
ACC - Rio Grande & 12th,2545,Red River & LBJ Library,1004,1.3330830380055867
ACC - Rio Grande & 12th,2545,Nueces @ 3rd,1008,0.6320540084375957
ACC - Rio Grande & 12th,2545,Republic Square,2500,0.5825945946790769
ACC - Rio Grande & 12th,2545,South Congress & Elizabeth,2504,1.8701133908804985
ACC - Rio Grande & 12th,2545,Waller & 6th St.,2536,1.2771880270841884
ACC - Rio Grande & 12th,2545,Plaza Saltillo,2542,1.5248916957897678
ACC - Rio Grande & 12th,2545,UT West Mall @ Guadalupe,2548,0.7536047345987024
ACC - Rio Grande & 12th,2545,State Capitol Visitors Garage @ San Jacinto & 12th,2561,0.5862272217435001
ACC - Rio Grande & 12th,2545,Trinity & 6th Street,2565,0.7636541136050409
ACC - Rio Grande & 12th,2545,Pfluger Bridge @ W 2nd Street,2566,0.7511259479927813
ACC - Rio Grande & 12th,2545,Red River & 8th Street,2571,0.8292137010826057
ACC - Rio Grande & 12th,2545,Rainey @ River St,2576,1.330833272644683
ACC - Rio Grande & 12th,2545,Rainey St @ Cummings,2707,1.4605929551872896
ACC - Rio Grande & 12th,2545,Guadalupe & 6th,3294,0.47650406598948547
ACC - Rio Grande & 12th,2545,MoPac Pedestrian Bridge @ Veterans Drive,3377,1.3714203973434635
ACC - Rio Grande & 12th,2545,South Congress & Barton Springs at the Austin American-Statesman,3513,1.2127803415460747
ACC - Rio Grande & 12th,2545,Nueces & 3rd,3621,0.6289175207842771
ACC - Rio Grande & 12th,2545,Congress & Cesar Chavez,3684,0.8808919236482481
ACC - Rio Grande & 12th,2545,Henderson & 9th,3685,0.3996039915753743
ACC - Rio Grande & 12th,2545,Sterzing at Barton Springs,3686,1.2803764541159655
ACC - Rio Grande & 12th,2545,State Parking Garage @ Brazos & 18th,1005,0.6488389420203393
ACC - Rio Grande & 12th,2545,South Congress & James,2503,1.7202093232348137
ACC - Rio Grande & 12th,2545,Zilker Park,2574,1.4249027501968736
ACC - Rio Grande & 12th,2545,Toomey Rd @ South Lamar,2712,1.100764105776844
ACC - Rio Grande & 12th,2545,Republic Square @ Guadalupe & 4th St.,2550,0.5662301989965048
ACC - Rio Grande & 12th,2545,San Jacinto & 8th Street,2562,0.6511815352895571
ACC - Rio Grande & 12th,2545,South Congress & Academy,2570,1.633293236543424
ACC - Rio Grande & 12th,2545,Riverside @ S. Lamar,2575,0.965901590027737
ACC - Rio Grande & 12th,2545,11th & San Jacinto,3291,0.5972068353980367
ACC - Rio Grande & 12th,2545,Republic Square @ Federal Courthouse Plaza,3455,0.5813388181306754
ACC - Rio Grande & 12th,2545,Lavaca & 6th,1007,0.5028666543900374
ACC - Rio Grande & 12th,2545,East 6th & Pedernales St.,2544,2.2759861334756195
